i,theta,phi
456,18.59,123.0
457,21.3,121.0
458,24.15,119.0
459,25.07,117.0
460,25.54,115.0
461,25.27,113.0
462,25.63,111.0
463,24.82,107.0
464,23.91,103.0
465,23.95,100.0
466,24.48,97.0
467,25.24,95.0
468,24.62,92.0
469,22.31,89.0
470,31.15,85.0
471,21.58,80.0
472,24.29,74.0
473,32.14,67.0
474,28.57,61.0
475,34.29,56.0
476,30.64,52.0
477,24.82,49.0
478,19.41,45.0
479,16.71,41.0
480,17.85,36.0
481,16.43,32.0
482,11.21,26.0
483,12.61,18.0
484,8.8,12.0
485,6.9,9.0
486,7.95,7.0
487,6.48,4.0
488,14.74,12.0
489,7.37,28.0
490,3.68,41.0
491,1.84,61.0
492,0.92,106.0
493,0.46,155.0
494,0.23,221.0
495,0.12,129.0
496,0.06,97.0
497,0.03,82.0
498,0.01,70.0
499,0.01,65.0
500,0.0,62.0
501,0.0,60.0
502,0.0,60.0
